word,pos,definition
"Chicoutimien, Enne",adj.,De Chicoutimi.
"Drummondvillois, E",adj.,De Drummondville.
"Estrien, Enne",adj.,De l'Estrie.
"Eustachois, E",adj.,De Saint-Eustache.
"Fidéen, Enne",adj.,De Sainte-Foy.
"Gaspésien, Enne",adj.,De la Gaspésie.
"Gatinois, E",adj.,De Gatineau.
"Granbyen, Enne",adj.,De Granby.
"Hullois, E",adj.,De Hull.
"Innu, E",adj.,D'un peuple amérindien.
"Jeannois, E",adj.,Du Lac-Saint-Jean.
"Jérômien, Enne",adj.,De Saint-Jérôme.
"Johannais, E",adj.,De Saint-Jean-sur-Richelieu.
"Joliettain, E",adj.,De Joliette.
"Lanaudois, E",adj.,De Lanaudière.
"Lévisien, Enne",adj.,De Lévis.
"Longueuillois, E",adj.,De Longueuil.
"MADELINOT, E ou MADELINIENNE",adj.,Des îles de la Madeleine.
"Magogois, E",adj.,De Magog (Québec).
"Maskoutain, E",adj.,De Saint-Hyacinthe.
"Montagnais, E",adj.,D'un peuple amérindien.
"Montérégien, Enne",adj.,De la Montérégie.
"Montréalais, E",adj.,De Montréal.
"Naskapi, E",adj.,D'un peuple amérindien.
Nunavimiuq,adj.,Du Nunavik.
"Repentignois, E",adj.,De Repentigny.
"Rimouskois, E",adj.,De Rimouski.
"Rouynorandien, Enne",adj.,De Rouyn-Noranda.
"Saguenayen, Enne",adj.,"(Ou SAGUENÉEN, ENNE) De Saguenay."
"Septilien, Enne",adj.,De Sept-Îles.
"Shawiniganais, E",adj.,De Shawinigan.
"Sorelois, E",adj.,De Sorel-Tracy.
"Témiscabitibien, Enne",adj.,De l'Abitibi-Témiscamingue.
"Terrebonnien, Enne",adj.,De Terrebonne.
